Make,Symboling,BodyStyle,CityMPG,HighwayMPG,Price
mazda,1,hatchback,31,38,6795.0
mazda,1,sedan,31,38,6695.0
mazda,1,sedan,31,38,7395.0
mazda,3,hatchback,17,23,10945.0
mazda,3,hatchback,17,23,11845.0
mazda,3,hatchback,17,23,13645.0
mazda,3,hatchback,16,23,15645.0
mazda,1,hatchback,26,32,8845.0
mazda,0,sedan,26,32,8495.0
mazda,1,hatchback,26,32,10595.0
mazda,0,sedan,26,32,10245.0
mazda,0,sedan,36,42,10795.0
mazda,0,hatchback,26,32,11245.0
mazda,0,sedan,19,27,18280.0
mazda,0,sedan,31,39,18344.0
mercedes-benz,-1,sedan,22,25,25552.0
mercedes-benz,-1,suv,22,25,28248.0
mercedes-benz,0,convertible,22,25,28176.0
mercedes-benz,-1,sedan,22,25,31600.0
mercedes-benz,-1,sedan,16,18,34184.0
mercedes-benz,3,convertible,16,18,35056.0
mercedes-benz,0,sedan,14,16,40960.0
mercedes-benz,1,convertible,14,16,45400.0
mercury,1,hatchback,19,24,16503.0
mitsubishi,2,hatchback,37,41,5389.0
mitsubishi,2,hatchback,31,38,6189.0
mitsubishi,2,hatchback,31,38,6669.0
mitsubishi,1,hatchback,24,30,7689.0
mitsubishi,3,hatchback,23,30,9959.0
mitsubishi,3,hatchback,25,32,8499.0
mitsubishi,3,hatchback,19,24,12629.0
mitsubishi,3,hatchback,19,24,14869.0
mitsubishi,3,hatchback,19,24,14489.0
mitsubishi,1,sedan,25,32,6989.0
mitsubishi,1,sedan,25,32,8189.0
mitsubishi,1,sedan,23,30,9279.0
mitsubishi,-1,sedan,23,30,9279.0
nissan,1,sedan,31,37,5499.0
nissan,1,sedan,45,50,7099.0
nissan,1,sedan,31,37,6649.0
nissan,1,sedan,31,37,6849.0
nissan,1,suv,31,37,7349.0
nissan,1,sedan,31,37,7299.0
nissan,1,hatchback,31,37,7799.0
nissan,1,sedan,31,37,7499.0
nissan,1,suv,31,37,7999.0
nissan,2,convertible,31,37,8249.0
nissan,0,hatchback,27,34,8949.0
nissan,0,sedan,27,34,9549.0
nissan,0,sedan,17,22,13499.0
nissan,0,suv,17,22,14399.0
nissan,0,sedan,19,25,13499.0
nissan,3,hatchback,19,25,17199.0
nissan,3,hatchback,17,23,19699.0
nissan,1,hatchback,19,25,18399.0
peugot,0,sedan,19,24,11900.0
peugot,0,sedan,28,33,13200.0
peugot,0,suv,19,24,12440.0
peugot,0,suv,25,25,13860.0
peugot,0,sedan,19,24,15580.0
peugot,0,sedan,28,33,16900.0
peugot,0,suv,19,24,16695.0
peugot,0,suv,25,25,17075.0
peugot,0,sedan,19,24,16630.0
peugot,0,sedan,28,33,17950.0
peugot,0,sedan,18,24,18150.0
plymouth,1,hatchback,37,41,5572.0
plymouth,1,hatchback,24,30,7957.0
plymouth,1,hatchback,31,38,6229.0
plymouth,1,sedan,31,38,6692.0
plymouth,1,sedan,31,38,7609.0
plymouth,-1,suv,24,30,8921.0
plymouth,3,hatchback,19,24,12764.0
porsche,3,hatchback,19,27,22018.0
porsche,3,convertible,17,25,32528.0
porsche,3,convertible,17,25,34028.0
porsche,3,convertible,17,25,37028.0
renault,0,suv,23,31,9295.0
renault,2,hatchback,23,31,9895.0
saab,3,hatchback,21,28,11850.0
saab,2,sedan,21,28,12170.0
saab,3,hatchback,21,28,15040.0
saab,2,sedan,21,28,15510.0
saab,3,hatchback,19,26,18150.0
saab,2,sedan,19,26,18620.0
subaru,2,hatchback,31,36,5118.0
subaru,2,hatchback,26,31,7053.0
subaru,2,hatchback,26,31,7603.0
subaru,0,sedan,32,37,7126.0
subaru,0,sedan,28,33,7775.0
subaru,0,sedan,26,32,9960.0
subaru,0,sedan,24,25,9233.0
subaru,0,sedan,24,29,11259.0
subaru,0,suv,28,32,7463.0
subaru,0,suv,25,31,10198.0
subaru,0,suv,23,29,8013.0
subaru,0,suv,23,23,11694.0
toyota,1,hatchback,35,39,5348.0
toyota,1,hatchback,31,38,6338.0
toyota,1,hatchback,31,38,6488.0
toyota,0,suv,31,37,6918.0
toyota,0,suv,27,32,7898.0
toyota,0,suv,27,32,8778.0
toyota,0,sedan,30,37,6938.0
toyota,0,hatchback,30,37,7198.0
toyota,0,sedan,34,36,7898.0
toyota,0,hatchback,38,47,7788.0
toyota,0,sedan,38,47,7738.0
toyota,0,hatchback,28,34,8358.0
toyota,0,sedan,28,34,9258.0
toyota,1,sedan,29,34,8058.0
toyota,1,hatchback,29,34,8238.0
toyota,1,sedan,26,29,9298.0
toyota,1,hatchback,26,29,9538.0
toyota,2,convertible,24,30,8449.0
toyota,2,convertible,24,30,9639.0
toyota,2,hatchback,24,30,9989.0
toyota,2,convertible,24,30,11199.0
toyota,2,hatchback,24,30,11549.0
toyota,2,convertible,24,30,17669.0
toyota,-1,sedan,29,34,8948.0
toyota,-1,sedan,30,33,10698.0
toyota,-1,hatchback,27,32,9988.0
toyota,-1,sedan,27,32,10898.0
toyota,-1,hatchback,27,32,11248.0
toyota,3,hatchback,20,24,16558.0
toyota,3,hatchback,19,24,15998.0
toyota,-1,sedan,20,24,15690.0
toyota,-1,suv,19,24,15750.0
volkswagen,2,sedan,37,46,7775.0
volkswagen,2,sedan,27,34,7975.0
volkswagen,2,sedan,37,46,7995.0
volkswagen,2,sedan,27,34,8195.0
volkswagen,2,sedan,27,34,8495.0
volkswagen,2,sedan,37,42,9495.0
volkswagen,2,sedan,26,32,9995.0
volkswagen,3,convertible,24,29,11595.0
volkswagen,3,hatchback,24,29,9980.0
volkswagen,0,sedan,19,24,13295.0
volkswagen,0,sedan,33,38,13845.0
volkswagen,0,suv,25,31,12290.0
volvo,-2,sedan,23,28,12940.0
volvo,-1,suv,23,28,13415.0
volvo,-2,sedan,24,28,15985.0
volvo,-1,suv,24,28,16515.0
volvo,-2,sedan,17,22,18420.0
volvo,-1,suv,17,22,18950.0
volvo,-1,sedan,23,28,16845.0
volvo,-1,sedan,19,25,19045.0
volvo,-1,sedan,18,23,21485.0
volvo,-1,sedan,26,27,22470.0
volvo,-1,sedan,19,25,22625.0
